Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
Q001,Recursive Fibonacci,Advanced Concepts,1,1-100,Easy,Not Attempted,0,1,"Read n and print nth Fibonacci using recursion.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,0,1,1,2,1,3,2,4,3,5,5,6,8,7,13,8,21,10,55
Q002,Recursive Sum Digits,Advanced Concepts,2,101-200,Medium,Not Attempted,0,1,"Read non-negative integer and print sum of digits using recursion.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,0,1,1,12,3,123,6,999,27,1001,2,4567,22,8080,16,98765,35,50005,10
Q003,Recursive Power,Advanced Concepts,3,201-300,Hard,Not Attempted,0,1,"Read base and exponent and print power using recursion.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,2 3,8,5 0,1,3 4,81,10 2,100,1 9,1,7 2,49,4 3,64,2 10,1024,9 1,9,6 2,36
Q004,Dynamic Array Sum,Advanced Concepts,4,301-400,Expert,Not Attempted,0,1,"Read n and n integers, allocate memory dynamically, and print sum.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,1,3 1 2 3,6,3 5 5 5,15,3 -1 2 -3,-2,4 10 20 30 40,100,3 0 0 0,0,2 7 8,15,3 100 -50 25,75,4 9 1 2 3,15,5 4 4 4 4 4,20
Q005,Dynamic Array Average,Advanced Concepts,1,1-100,Easy,Not Attempted,0,1,"Read n and n integers, allocate dynamically, and print integer average.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,1,3 1 2 3,2,3 5 5 5,5,2 10 20,15,2 -1 1,0,3 100 50 25,58,3 7 8 9,8,3 0 0 1,0,4 4 6 8 10,7,3 9 9 8,8
Q006,Sort Three Numbers,Advanced Concepts,2,101-200,Medium,Not Attempted,0,1,"Read three integers and print them in ascending order.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,3 2 1,1 2 3,1 2 3,1 2 3,5 5 1,1 5 5,-1 -2 -3,-3 -2 -1,0 9 4,0 4 9,100 50 75,50 75 100,7 7 7,7 7 7,8 10 9,8 9 10,11 13 12,11 12 13,99 1 50,1 50 99
Q007,Binary Search Result,Advanced Concepts,3,201-300,Hard,Not Attempted,0,1,"Read n sorted integers and key. Print index if found, otherwise -1.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,3 1 2 3 2,1,3 1 2 3 5,-1,1 9 9,0,3 4 5 6 4,0,3 4 5 6 7,-1,2 0 1 0,0,2 -1 2 -1,0,3 8 9 10 10,2,3 8 9 10 11,-1,3 5 6 7 5,0
Q008,Matrix 2x2 Sum,Advanced Concepts,4,301-400,Expert,Not Attempted,0,1,"Read eight integers representing two 2x2 matrices and print sum matrix row-wise.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 2 3 4 5 6 7 8,6 8 10 12,0 0 0 0 1 2 3 4,1 2 3 4,1 1 1 1 1 1 1 1,2 2 2 2,-1 2 -3 4 5 -6 7 -8,4 -4 4 -4,10 20 30 40 1 2 3 4,11 22 33 44,9 8 7 6 6 7 8 9,15 15 15 15,100 0 0 100 1 1 1 1,101 1 1 101,2 3 4 5 6 7 8 9,8 10 12 14,5 5 5 5 0 1 2 3,5 6 7 8,1 0 0 1 1 0 0 1,2 0 0 2
Q009,Enum Day Number,Advanced Concepts,2,101-200,Medium,Not Attempted,0,1,"Read day number 1 to 7 and print Weekday or Weekend.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1,Weekday,2,Weekday,3,Weekday,4,Weekday,5,Weekday,6,Weekend,7,Weekend,1,Weekday,5,Weekday,7,Weekend
Q010,Macro Style Max,Advanced Concepts,3,201-300,Hard,Not Attempted,0,1,"Read two integers and print maximum as if using a MAX macro.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 2,2,5 3,5,-1 -5,-1,0 0,0,100 99,100,42 42,42,-3 7,7,8 -9,8,999 1000,1000,11 10,11
