Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
Q001,Quotient and Remainder,Operators,1,1-100,Easy,Not Attempted,0,1,"Read a and b and print quotient and remainder separated by a space.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,10 3,3 1,20 5,4 0,7 2,3 1,100 9,11 1,45 6,7 3,81 8,10 1,1 1,1 0,999 10,99 9,64 7,9 1,1234 100,12 34
Q002,Expression A Plus B Times C,Expressions,2,101-200,Medium,Not Attempted,0,1,"Read a, b, c and print a+b*c.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 2 3,7,10 5 2,20,0 7 8,56,-1 3 4,11,9 9 9,90,100 2 50,200,5 -2 6,-7,8 0 3,8,12 4 -1,8,7 11 2,29
Q003,Precedence Difference,Expressions,3,201-300,Hard,Not Attempted,0,1,"Read a, b, c and print (a+b)*c.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 2 3,9,10 5 2,30,0 7 8,56,-1 3 4,8,9 9 9,162,100 2 50,5100,5 -2 6,18,8 0 3,24,12 4 -1,-16,7 11 2,36
Q004,Increment by One,Operators,4,301-400,Expert,Not Attempted,0,1,"Read n and print n+1.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,1,1,2,-1,0,99,100,1000,1001,-500,-499,42,43,7,8,214,215,9999,10000
Q005,Even Using Modulo,Operators,1,1-100,Easy,Not Attempted,0,1,"Read n and print 1 if n is even, otherwise 0.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,1,1,0,2,1,3,0,10,1,11,0,-4,1,-5,0,99,0,100,1
Q006,Bitwise AND,Bitwise Operators,2,101-200,Medium,Not Attempted,0,1,"Read a and b and print a & b.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,5 3,1,12 10,8,7 1,1,0 9,0,15 8,8,31 16,16,42 27,10,100 50,32,255 1,1,64 63,0
Q007,Bitwise OR,Bitwise Operators,3,201-300,Hard,Not Attempted,0,1,"Read a and b and print a | b.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,5 3,7,12 10,14,7 1,7,0 9,9,15 8,15,31 16,31,42 27,59,100 50,118,255 1,255,64 63,127
Q008,Left Shift,Bitwise Operators,4,301-400,Expert,Not Attempted,0,1,"Read n and k and print n shifted left by k.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,2,2 2,8,5 1,10,7 3,56,10 0,10,3 4,48,8 2,32,15 1,30,9 3,72,6 5,192
Q009,Absolute Difference,Expressions,2,101-200,Medium,Not Attempted,0,1,"Read a and b and print absolute difference.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 5,4,5 1,4,-2 3,5,10 10,0,0 9,9,-8 -3,5,100 40,60,42 100,58,999 1,998,7 -7,14
Q010,Average of Three,Expressions,3,201-300,Hard,Not Attempted,0,1,"Read three integers and print integer average.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 2 3,2,10 20 30,20,5 5 5,5,0 0 1,0,-3 3 6,2,100 90 80,90,7 8 9,8,11 13 17,13,50 60 70,60,2 4 8,4
