Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
Q001,String Length,Strings,1,1-100,Easy,Not Attempted,0,1,"Read one word and print its length.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,a,1,abc,3,hello,5,programming,11,C,1,level,5,strings,7,testcase,8,nmamit,6,abcdef,6
Q002,Count Vowels,Strings,2,101-200,Medium,Not Attempted,0,1,"Read one lowercase word and print number of vowels.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,a,1,abc,1,hello,2,programming,3,sky,0,education,5,queue,4,rhythm,0,banana,3,computer,3
Q003,Palindrome Word,Strings,3,201-300,Hard,Not Attempted,0,1,"Read one word and print Palindrome or Not Palindrome.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,madam,Palindrome,level,Palindrome,hello,Not Palindrome,civic,Palindrome,code,Not Palindrome,radar,Palindrome,abcba,Palindrome,abcd,Not Palindrome,a,Palindrome,noon,Palindrome
Q004,First Character,Strings,4,301-400,Expert,Not Attempted,0,1,"Read one word and print its first character.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,apple,a,banana,b,c,c,delta,d,echo,e,zebra,z,Nitte,N,lab,l,code,c,test,t
Q005,Last Character,Strings,1,1-100,Easy,Not Attempted,0,1,"Read one word and print its last character.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,apple,e,banana,a,c,c,delta,a,echo,o,zebra,a,Nitte,e,lab,b,code,e,test,t
Q006,Count Letter A,Strings,2,101-200,Medium,Not Attempted,0,1,"Read one lowercase word and print count of character a.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,apple,1,banana,3,aaaa,4,code,0,data,2,abracadabra,5,xyz,0,alpha,2,array,2,stack,1
Q007,Lexicographic Compare,Strings,3,201-300,Hard,Not Attempted,0,1,"Read two words and print First, Second, or Equal depending on lexicographic order.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,apple banana,First,cat bat,Second,same same,Equal,abc abd,First,z a,Second,code coder,First,hello hell,Second,aa ab,First,sun moon,Second,tree tree,Equal
Q008,String Has Digit,Strings,4,301-400,Expert,Not Attempted,0,1,"Read one word and print Yes if it contains any digit, otherwise No.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,abc,No,a1b,Yes,123,Yes,code,No,c0de,Yes,test9,Yes,hello,No,5five,Yes,none,No,x7,Yes
Q009,Count Consonants,Strings,2,101-200,Medium,Not Attempted,0,1,"Read one lowercase alphabetic word and print number of consonants.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,abc,2,hello,3,sky,3,education,4,banana,3,queue,1,rhythm,6,computer,5,lab,2,strings,6
Q010,Longest Substring Without Repeat,Strings,3,201-300,Hard,Not Attempted,0,1,"Read one word and print length of longest substring without repeating characters.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,abcabcbb,3,bbbbb,1,pwwkew,3,abcdef,6,abba,2,dvdf,3,anviaj,5,aab,2,tmmzuxt,5,hello,3
