Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Is_Mandatory,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
E001,Quotient Remainder,Operators,2,Easy,Easy,Not Attempted,0,1,Read a b and print quotient and remainder space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,10 3,3 1,20 5,4 0,7 2,3 1,100 9,11 1,45 6,7 3,10 3,3 1,20 5,4 0,7 2,3 1,100 9,11 1,45 6,7 3
E002,Even Check,Operators,2,Easy,Easy,Not Attempted,0,1,Read n and print 1 if even else 0.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,0,1,1,0,2,1,3,0,10,1,0,1,1,0,2,1,3,0,10,1
E003,Increment,Operators,2,Easy,Easy,Not Attempted,0,1,Read n and print n+1.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,0,1,1,2,-1,0,99,100,1000,1001,0,1,1,2,-1,0,99,100,1000,1001
E004,Expression A Plus B Times C,Operators,2,Easy,Easy,Not Attempted,0,1,Read a b c and print a+b*c.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2 3,7,10 5 2,20,0 7 8,56,-1 3 4,11,9 9 9,90,1 2 3,7,10 5 2,20,0 7 8,56,-1 3 4,11,9 9 9,90
E005,Average Three,Operators,2,Easy,Easy,Not Attempted,0,1,Read three integers and print integer average.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2 3,2,10 20 30,20,5 5 5,5,0 0 1,0,-3 3 6,2,1 2 3,2,10 20 30,20,5 5 5,5,0 0 1,0,-3 3 6,2
E006,Decrement,Operators,2,Easy,Easy,Not Attempted,0,1,Read n and print n-1.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1,0,0,-1,100,99,-5,-6,42,41,1,0,0,-1,100,99,-5,-6,42,41
E007,Multiply by Two Shift,Operators,2,Easy,Easy,Not Attempted,0,1,Read n and print n << 1.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1,2,5,10,10,20,0,0,15,30,1,2,5,10,10,20,0,0,15,30
E008,Divide by Two Shift,Operators,2,Easy,Easy,Not Attempted,0,1,Read non-negative n and print n >> 1.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2,1,10,5,11,5,0,0,100,50,2,1,10,5,11,5,0,0,100,50
E009,Modulo Ten,Operators,2,Easy,Easy,Not Attempted,0,1,Read positive integer n and print n % 10.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,123,3,45,5,100,0,7,7,999,9,123,3,45,5,100,0,7,7,999,9
E010,Square Expression,Operators,2,Easy,Easy,Not Attempted,0,1,Read a b and print (a+b)*(a+b).,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2,9,3 4,49,0 5,25,-2 2,0,10 10,400,1 2,9,3 4,49,0 5,25,-2 2,0,10 10,400
M001,Bitwise AND,Operators,2,Medium,Medium,Not Attempted,0,1,Read a b and print a & b.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5 3,1,12 10,8,7 1,1,0 9,0,15 8,8,5 3,1,12 10,8,7 1,1,0 9,0,15 8,8
M002,Bitwise OR,Operators,2,Medium,Medium,Not Attempted,0,1,Read a b and print a | b.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5 3,7,12 10,14,7 1,7,0 9,9,15 8,15,5 3,7,12 10,14,7 1,7,0 9,9,15 8,15
M003,Left Shift,Operators,2,Medium,Medium,Not Attempted,0,1,Read n k and print n shifted left by k.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 1,2,2 2,8,5 1,10,7 3,56,10 0,10,1 1,2,2 2,8,5 1,10,7 3,56,10 0,10
M004,Absolute Difference,Operators,2,Medium,Medium,Not Attempted,0,1,Read a b and print absolute difference.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 5,4,5 1,4,-2 3,5,10 10,0,0 9,9,1 5,4,5 1,4,-2 3,5,10 10,0,0 9,9
M005,Precedence Difference,Operators,2,Medium,Medium,Not Attempted,0,1,Read a b c and print (a+b)*c.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2 3,9,10 5 2,30,0 7 8,56,-1 3 4,8,9 9 9,162,1 2 3,9,10 5 2,30,0 7 8,56,-1 3 4,8,9 9 9,162
M006,Right Shift,Operators,2,Medium,Medium,Not Attempted,0,1,Read n k and print n shifted right by k.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,8 1,4,16 2,4,15 1,7,100 3,12,7 0,7,8 1,4,16 2,4,15 1,7,100 3,12,7 0,7
M007,Bitwise XOR,Operators,2,Medium,Medium,Not Attempted,0,1,Read a b and print a ^ b.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5 3,6,12 10,6,7 7,0,15 0,15,255 1,254,5 3,6,12 10,6,7 7,0,15 0,15,255 1,254
M008,Is Multiple of 5,Operators,2,Medium,Medium,Not Attempted,0,1,Read n and print 1 if multiple of 5 else 0.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,10,1,15,1,12,0,0,1,-25,1,10,1,15,1,12,0,0,1,-25,1
M009,Opposite Signs Check,Operators,2,Medium,Medium,Not Attempted,0,1,Read non-zero a and b. Print 1 if opposite signs else 0.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5 -3,1,-2 4,1,5 10,0,-3 -7,0,100 -1,1,5 -3,1,-2 4,1,5 10,0,-3 -7,0,100 -1,1
M010,Sum of Squares,Operators,2,Medium,Medium,Not Attempted,0,1,Read a b and print a*a + b*b.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 4,25,1 2,5,0 5,25,-3 -4,25,10 10,200,3 4,25,1 2,5,0 5,25,-3 -4,25,10 10,200
LM001,GCD and LCM Euclid,Lab Manual Operators,2,Hard,Hard,Not Attempted,0,1,"Write a C program to find the GCD and LCM of given two numbers using Euclid's method.
Read two positive integers. Print GCD followed by space followed by LCM.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,true,2,128000,12 18,6 36,7 5,1 35,100 10,10 100,81 27,27 81,14 21,7 42,12 18,6 36,7 5,1 35,100 10,10 100,81 27,27 81,14 21,7 42
H001,Quadratic Discriminant,Operators,2,Hard,Hard,Not Attempted,0,1,Read a b c and print discriminant b*b-4*a*c.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 -2 1,0,1 -5 6,1,1 2 5,-16,2 4 2,0,1 0 -4,16,1 -2 1,0,1 -5 6,1,1 2 5,-16,2 4 2,0,1 0 -4,16
H002,Mask Lower N Bits,Operators,2,Hard,Hard,Not Attempted,0,1,Read n and print (1<<n)-1.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,0,0,1,1,2,3,3,7,4,15,0,0,1,1,2,3,3,7,4,15
H003,Toggle Bit,Operators,2,Hard,Hard,Not Attempted,0,1,Read n k and print n with kth bit toggled (0-indexed).,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5 1,7,5 0,4,8 3,0,10 1,8,15 2,11,5 1,7,5 0,4,8 3,0,10 1,8,15 2,11
