Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
Q001,Array Sum,Arrays,1,1-100,Easy,Not Attempted,0,1,"Read n followed by n integers and print their sum.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,1,3 1 2 3,6,3 5 5 5,15,3 -1 2 -3,-2,4 10 20 30 40,100,3 0 0 0,0,2 7 8,15,3 100 -50 25,75,4 9 1 2 3,15,5 4 4 4 4 4,20
Q002,Array Maximum,Arrays,2,101-200,Medium,Not Attempted,0,1,"Read n followed by n integers and print the maximum.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,1,3 1 2 3,3,3 5 5 5,5,3 -1 2 -3,2,4 10 20 30 40,40,3 0 0 0,0,2 7 8,8,3 100 -50 25,100,4 9 1 2 3,9,5 4 4 4 4 4,4
Q003,Count Even Elements,Arrays,3,201-300,Hard,Not Attempted,0,1,"Read n followed by n integers and print count of even elements.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,0,3 1 2 3,1,3 2 4 6,3,3 1 3 5,0,3 -2 -3 4,2,3 0 1 2,2,3 8 8 9,2,4 10 11 12 13,2,3 7 14 21,1,3 100 200 300,3
Q004,Linear Search,Arrays,4,301-400,Expert,Not Attempted,0,1,"Read n, n integers, and key. Print Found or Not Found.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,3 1 2 3 2,Found,3 1 2 3 5,Not Found,1 9 9,Found,3 4 5 6 4,Found,3 4 5 6 7,Not Found,2 0 0 0,Found,2 -1 2 -1,Found,3 8 9 10 10,Found,3 8 9 10 11,Not Found,3 5 5 5 5,Found
Q005,Array Reverse,Arrays,1,1-100,Easy,Not Attempted,0,1,"Read n followed by n integers and print them reversed separated by spaces.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,1,2 1 2,2 1,3 1 2 3,3 2 1,4 5 4 3 2,2 3 4 5,2 0 9,9 0,3 -1 2 -3,-3 2 -1,3 10 20 30,30 20 10,3 7 7 8,8 7 7,3 100 50 25,25 50 100,5 3 1 4 1 5,5 1 4 1 3
Q006,Second Largest,Arrays,2,101-200,Medium,Not Attempted,0,1,"Read n followed by n distinct integers and print the second largest.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,2 1 2,1,3 1 2 3,2,3 5 4 3,4,4 10 20 30 40,30,3 -1 2 -3,-1,3 100 50 25,50,3 7 9 8,8,4 11 13 17 19,17,4 4 1 6 2,4,3 99 1 50,50
Q007,Positive Count,Arrays,3,201-300,Hard,Not Attempted,0,1,"Read n followed by n integers and print count of positive numbers.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,1,1 -1,0,1 0,0,3 1 -2 3,2,3 -1 -2 -3,0,3 0 1 2,2,3 5 6 7,3,3 -5 6 -7,1,3 10 0 -10,1,4 1 2 -3 4,3
Q008,Array Average Integer,Arrays,4,301-400,Expert,Not Attempted,0,1,"Read n followed by n integers and print integer average.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,1,3 1 2 3,2,3 5 5 5,5,2 10 20,15,2 -1 1,0,3 100 50 25,58,3 7 8 9,8,3 0 0 1,0,4 4 6 8 10,7,3 9 9 8,8
Q009,Frequency of Key,Arrays,2,101-200,Medium,Not Attempted,0,1,"Read n, n integers, and key. Print how many times key appears.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,3 1 2 1 1,2,3 1 2 3 4,0,3 5 5 5 5,3,3 0 0 1 0,2,3 -1 2 -1 -1,2,3 7 8 9 7,1,3 7 8 9 10,0,4 3 3 2 3 3,3,1 1 1,1,1 1 2,0
Q010,Adjacent Pair Sum,Arrays,3,201-300,Hard,Not Attempted,0,1,"Read n followed by n integers and print the maximum sum of adjacent pair.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,2 1 2,3,3 1 2 3,5,3 5 4 3,9,4 10 20 30 40,70,3 -1 2 -3,1,3 100 50 25,150,3 7 9 8,17,4 11 13 17 19,36,4 4 1 6 2,8,3 99 1 50,100
