Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Is_Mandatory,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
E001,Square Value,Functions,6,Easy,Easy,Not Attempted,0,1,Write a function to return square of n. Read n and print square.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2,4,5,25,0,0,-3,9,10,100,2,4,5,25,0,0,-3,9,10,100
E002,Maximum Two,Functions,6,Easy,Easy,Not Attempted,0,1,Write a function to return max of two integers. Read a b and print max.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2,2,5 3,5,-1 -5,-1,0 0,0,100 99,100,1 2,2,5 3,5,-1 -5,-1,0 0,0,100 99,100
E003,Sum Three,Functions,6,Easy,Easy,Not Attempted,0,1,Write a function to return sum of three integers. Read a b c and print sum.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2 3,6,10 20 30,60,5 5 5,15,0 0 1,1,-3 3 6,6,1 2 3,6,10 20 30,60,5 5 5,15,0 0 1,1,-3 3 6,6
E004,Even Flag,Functions,6,Easy,Easy,Not Attempted,0,1,Write a function returning 1 if even else 0. Read n and print result.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,0,1,1,0,2,1,3,0,10,1,0,1,1,0,2,1,3,0,10,1
E005,Digit Sum,Functions,6,Easy,Easy,Not Attempted,0,1,Write a function returning sum of digits. Read non-negative n and print result.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,123,6,0,0,999,27,1001,2,4567,22,123,6,0,0,999,27,1001,2,4567,22
E006,Cube Value,Functions,6,Easy,Easy,Not Attempted,0,1,Write a function returning cube of n. Read n and print cube.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2,8,3,27,0,0,-2,-8,5,125,2,8,3,27,0,0,-2,-8,5,125
E007,Minimum Two,Functions,6,Easy,Easy,Not Attempted,0,1,Write a function returning min of two integers. Read a b and print min.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2,1,5 3,3,-1 -5,-5,0 0,0,100 99,99,1 2,1,5 3,3,-1 -5,-5,0 0,0,100 99,99
E008,Absolute Value,Functions,6,Easy,Easy,Not Attempted,0,1,Write a function returning absolute value. Read n and print abs(n).,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,-5,5,5,5,0,0,-100,100,42,42,-5,5,5,5,0,0,-100,100,42,42
E009,Is Positive,Functions,6,Easy,Easy,Not Attempted,0,1,Write a function returning 1 if n > 0 else 0. Read n and print result.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5,1,-5,0,0,0,100,1,-1,0,5,1,-5,0,0,0,100,1,-1,0
E010,Double Value,Functions,6,Easy,Easy,Not Attempted,0,1,Write a function returning 2*n. Read n and print result.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5,10,0,0,-3,-6,50,100,42,84,5,10,0,0,-3,-6,50,100,42,84
M001,Power Function,Functions,6,Medium,Medium,Not Attempted,0,1,Write a function to compute base^exp. Read base exp (>=0) and print result.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2 3,8,5 0,1,3 4,81,10 2,100,7 2,49,2 3,8,5 0,1,3 4,81,10 2,100,7 2,49
M002,GCD Function,Functions,6,Medium,Medium,Not Attempted,0,1,Write a function to compute GCD of two positive integers. Read a b and print GCD.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,12 18,6,7 5,1,100 10,10,81 27,27,14 21,7,12 18,6,7 5,1,100 10,10,81 27,27,14 21,7
M003,Array Sum Function,Functions,6,Medium,Medium,Not Attempted,0,1,"Write a function taking array and length, returning sum. Read n and n integers, print sum.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,6,1 5,5,4 10 20 30 40,100,2 -1 1,0,3 5 5 5,15,3 1 2 3,6,1 5,5,4 10 20 30 40,100,2 -1 1,0,3 5 5 5,15
M004,Array Max Function,Functions,6,Medium,Medium,Not Attempted,0,1,"Write a function taking array and length, returning max. Read n and n integers, print max.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,3,1 5,5,4 10 20 30 40,40,2 -1 1,1,3 5 5 5,5,3 1 2 3,3,1 5,5,4 10 20 30 40,40,2 -1 1,1,3 5 5 5,5
M005,Reverse Array Function,Functions,6,Medium,Medium,Not Attempted,0,1,"Write a function to reverse array in place. Read n and n integers, print reversed array.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,3 2 1,1 5,5,4 10 20 30 40,40 30 20 10,2 -1 1,1 -1,3 5 5 5,5 5 5,3 1 2 3,3 2 1,1 5,5,4 10 20 30 40,40 30 20 10,2 -1 1,1 -1,3 5 5 5,5 5 5
