Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
Q001,Pointer Swap Result,Pointers,1,1-100,Easy,Not Attempted,0,1,"Read a and b, swap using pointers, and print swapped values.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 2,2 1,5 3,3 5,-1 9,9 -1,0 0,0 0,100 99,99 100,42 7,7 42,-3 -8,-8 -3,8 -9,-9 8,999 1000,1000 999,11 10,10 11
Q002,Pointer Increment,Pointers,2,101-200,Medium,Not Attempted,0,1,"Read n, increment it using a pointer, and print the result.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,1,1,2,-1,0,99,100,1000,1001,-500,-499,42,43,7,8,214,215,9999,10000
Q003,Pointer Array Sum,Pointers,3,201-300,Hard,Not Attempted,0,1,"Read n and n integers. Use pointer traversal and print sum.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,1,3 1 2 3,6,3 5 5 5,15,3 -1 2 -3,-2,4 10 20 30 40,100,3 0 0 0,0,2 7 8,15,3 100 -50 25,75,4 9 1 2 3,15,5 4 4 4 4 4,20
Q004,Pointer Array Max,Pointers,4,301-400,Expert,Not Attempted,0,1,"Read n and n integers. Use pointer traversal and print max.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,1,3 1 2 3,3,3 5 5 5,5,3 -1 2 -3,2,4 10 20 30 40,40,3 0 0 0,0,2 7 8,8,3 100 -50 25,100,4 9 1 2 3,9,5 4 4 4 4 4,4
Q005,Pointer Difference,Pointers,1,1-100,Easy,Not Attempted,0,1,"Read two integers and print absolute difference using pointer variables.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 5,4,5 1,4,-2 3,5,10 10,0,0 9,9,-8 -3,5,100 40,60,42 100,58,999 1,998,7 -7,14
Q006,Pointer String Length,Pointers,2,101-200,Medium,Not Attempted,0,1,"Read one word and find length using a char pointer.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,a,1,abc,3,hello,5,programming,11,C,1,level,5,strings,7,testcase,8,nmamit,6,abcdef,6
Q007,Pointer Count Vowels,Pointers,3,201-300,Hard,Not Attempted,0,1,"Read one lowercase word and count vowels using a pointer.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,a,1,abc,1,hello,2,programming,3,sky,0,education,5,queue,4,rhythm,0,banana,3,computer,3
Q008,Pointer Reverse Array,Pointers,4,301-400,Expert,Not Attempted,0,1,"Read n and n integers, reverse using pointers, and print reversed array.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,1,2 1 2,2 1,3 1 2 3,3 2 1,4 5 4 3 2,2 3 4 5,2 0 9,9 0,3 -1 2 -3,-3 2 -1,3 10 20 30,30 20 10,3 7 7 8,8 7 7,3 100 50 25,25 50 100,5 3 1 4 1 5,5 1 4 1 3
Q009,Pointer Min Max,Pointers,2,101-200,Medium,Not Attempted,0,1,"Read n and n integers. Print min and max separated by a space.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,1 1,3 1 2 3,1 3,3 5 5 5,5 5,3 -1 2 -3,-3 2,4 10 20 30 40,10 40,3 0 0 0,0 0,2 7 8,7 8,3 100 -50 25,-50 100,4 9 1 2 3,1 9,5 4 4 4 4 4,4 4
Q010,Pointer Key Count,Pointers,3,201-300,Hard,Not Attempted,0,1,"Read n, n integers and key. Count key using pointers.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,3 1 2 1 1,2,3 1 2 3 4,0,3 5 5 5 5,3,3 0 0 1 0,2,3 -1 2 -1 -1,2,3 7 8 9 7,1,3 7 8 9 10,0,4 3 3 2 3 3,3,1 1 1,1,1 1 2,0
