Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Is_Mandatory,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
E001,String Length,Strings,5,Easy,Easy,Not Attempted,0,1,Read a word and print its length.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,5,a,1,programming,11,code,4,openai,6,hello,5,a,1,programming,11,code,4,openai,6
E002,First Character,Strings,5,Easy,Easy,Not Attempted,0,1,Read a word and print first character.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,h,apple,a,banana,b,cat,c,zebra,z,hello,h,apple,a,banana,b,cat,c,zebra,z
E003,Last Character,Strings,5,Easy,Easy,Not Attempted,0,1,Read a word and print last character.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,o,apple,e,banana,a,cat,t,zebra,a,hello,o,apple,e,banana,a,cat,t,zebra,a
E004,Count A,Strings,5,Easy,Easy,Not Attempted,0,1,Read a lowercase word and print count of 'a'.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,banana,3,apple,1,hello,0,aaaa,4,code,0,banana,3,apple,1,hello,0,aaaa,4,code,0
E005,Has Digit,Strings,5,Easy,Easy,Not Attempted,0,1,Read a word and print Yes if it contains a digit else No.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,code123,Yes,hello,No,a1b,Yes,test,No,9nine,Yes,code123,Yes,hello,No,a1b,Yes,test,No,9nine,Yes
E006,Convert to Uppercase,Strings,5,Easy,Easy,Not Attempted,0,1,Read a lowercase word and print in uppercase.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,HELLO,abc,ABC,code,CODE,a,A,xyz,XYZ,hello,HELLO,abc,ABC,code,CODE,a,A,xyz,XYZ
E007,Convert to Lowercase,Strings,5,Easy,Easy,Not Attempted,0,1,Read an uppercase word and print in lowercase.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,HELLO,hello,ABC,abc,CODE,code,A,a,XYZ,xyz,HELLO,hello,ABC,abc,CODE,code,A,a,XYZ,xyz
E008,Count E,Strings,5,Easy,Easy,Not Attempted,0,1,Read a lowercase word and print count of 'e'.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,elephant,2,hello,1,banana,0,eeee,4,code,1,elephant,2,hello,1,banana,0,eeee,4,code,1
E009,Starts with A,Strings,5,Easy,Easy,Not Attempted,0,1,Read a lowercase word and print Yes if starts with 'a' else No.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,apple,Yes,banana,No,a,Yes,hello,No,ant,Yes,apple,Yes,banana,No,a,Yes,hello,No,ant,Yes
E010,Ends with Z,Strings,5,Easy,Easy,Not Attempted,0,1,Read a lowercase word and print Yes if ends with 'z' else No.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,buzz,Yes,hello,No,z,Yes,topz,Yes,zebra,No,buzz,Yes,hello,No,z,Yes,topz,Yes,zebra,No
M001,Count Vowels,Strings,5,Medium,Medium,Not Attempted,0,1,Read a lowercase word and print vowel count.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,2,education,5,sky,0,apple,2,banana,3,hello,2,education,5,sky,0,apple,2,banana,3
M002,Count Consonants,Strings,5,Medium,Medium,Not Attempted,0,1,Read a lowercase alphabetic word and print consonant count.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,3,education,4,sky,3,apple,3,banana,3,hello,3,education,4,sky,3,apple,3,banana,3
M003,Lexicographic Compare,Strings,5,Medium,Medium,Not Attempted,0,1,"Read two words space separated. Print First, Second, or Equal.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,apple banana,First,cat bat,Second,same same,Equal,abc abd,First,z a,Second,apple banana,First,cat bat,Second,same same,Equal,abc abd,First,z a,Second
M004,Reverse Word,Strings,5,Medium,Medium,Not Attempted,0,1,Read a word and print reverse.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,olleh,abc,cba,a,a,code,edoc,racecar,racecar,hello,olleh,abc,cba,a,a,code,edoc,racecar,racecar
M005,Count Digits in String,Strings,5,Medium,Medium,Not Attempted,0,1,Read a word and print number of numeric digit characters.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,a1b2c3,3,hello,0,12345,5,c0de,1,x9y8z7,3,a1b2c3,3,hello,0,12345,5,c0de,1,x9y8z7,3
M006,Replace Vowels X,Strings,5,Medium,Medium,Not Attempted,0,1,Read a lowercase word and replace all vowels with 'X'. Print result.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,hXllX,apple,XpplX,sky,sky,aeiou,XXXXX,banana,bXnXnX,hello,hXllX,apple,XpplX,sky,sky,aeiou,XXXXX,banana,bXnXnX
M007,Char Frequency,Strings,5,Medium,Medium,Not Attempted,0,1,Read word and character space separated. Print frequency of char in word.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello l,2,banana a,3,code z,0,test t,2,abc a,1,hello l,2,banana a,3,code z,0,test t,2,abc a,1
M008,Is Uppercase Word,Strings,5,Medium,Medium,Not Attempted,0,1,Read alphabetic word. Print Yes if all letters are uppercase else No.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,HELLO,Yes,Hello,No,hello,No,A,Yes,CODE,Yes,HELLO,Yes,Hello,No,hello,No,A,Yes,CODE,Yes
M009,Concatenate Words,Strings,5,Medium,Medium,Not Attempted,0,1,Read two words space separated and print them joined together without space.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello world,helloworld,foo bar,foobar,a b,ab,code lab,codelab,test case,testcase,hello world,helloworld,foo bar,foobar,a b,ab,code lab,codelab,test case,testcase
M010,Print Alternating Chars,Strings,5,Medium,Medium,Not Attempted,0,1,"Read word and print characters at even indices (0, 2, 4...).","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,hlo,abcdef,ace,a,a,code,cd,banana,bnn,hello,hlo,abcdef,ace,a,a,code,cd,banana,bnn
LM001,Palindrome String Check,Lab Manual Strings,5,Hard,Hard,Not Attempted,0,1,"Write a C program to find if a given string is a palindrome or not.
Read a word. Print 'Palindrome' if it reads the same backwards else 'Not Palindrome'.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,true,2,128000,madam,Palindrome,hello,Not Palindrome,racecar,Palindrome,level,Palindrome,code,Not Palindrome,madam,Palindrome,hello,Not Palindrome,racecar,Palindrome,level,Palindrome,code,Not Palindrome
H001,Longest Unique Substring,Strings,5,Hard,Hard,Not Attempted,0,1,Read word and print length of longest substring without repeating characters.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,abcabcbb,3,bbbbb,1,pwwkew,3,abcdef,6,aab,2,abcabcbb,3,bbbbb,1,pwwkew,3,abcdef,6,aab,2
H002,Anagram Check,Strings,5,Hard,Hard,Not Attempted,0,1,Read two lowercase words space separated. Print Anagram or Not Anagram.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,listen silent,Anagram,hello bello,Not Anagram,earth heart,Anagram,cat act,Anagram,abc abd,Not Anagram,listen silent,Anagram,hello bello,Not Anagram,earth heart,Anagram,cat act,Anagram,abc abd,Not Anagram
H003,Word Score,Strings,5,Hard,Hard,Not Attempted,0,1,"Read lowercase word and print sum of alphabet positions (a=1, b=2... z=26).","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,abc,6,hello,52,a,1,z,26,code,27,abc,6,hello,52,a,1,z,26,code,27
H004,Remove Duplicate Chars,Strings,5,Hard,Hard,Not Attempted,0,1,Read lowercase word. Remove consecutive duplicate characters and print result.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,aabccba,abcba,hello,helo,aaaaa,a,code,code,bookkeeper,bokeper,aabccba,abcba,hello,helo,aaaaa,a,code,code,bookkeeper,bokeper
H005,Max Frequency Char,Strings,5,Hard,Hard,Not Attempted,0,1,Read lowercase word. Print the lexicographically smallest character with highest frequency.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,banana,a,hello,l,abc,a,aabbcc,a,Mississippi,s,banana,a,hello,l,abc,a,aabbcc,a,Mississippi,s
