Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
Q001,Maximum of Two,Conditionals,1,1-100,Easy,Not Attempted,0,1,"Read two integers and print the larger value.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 2,2,5 3,5,-1 -5,-1,0 0,0,100 99,100,42 42,42,-3 7,7,8 -9,8,999 1000,1000,11 10,11
Q002,Sign of Number,Conditionals,2,101-200,Medium,Not Attempted,0,1,"Read n and print Positive, Negative, or Zero.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,Zero,1,Positive,-1,Negative,25,Positive,-30,Negative,999,Positive,-999,Negative,7,Positive,-8,Negative,100,Positive
Q003,Leap Year,Conditionals,3,201-300,Hard,Not Attempted,0,1,"Read year and print Leap or Not Leap.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,2000,Leap,1900,Not Leap,2024,Leap,2023,Not Leap,2100,Not Leap,2400,Leap,1996,Leap,1999,Not Leap,1800,Not Leap,1600,Leap
Q004,Sum 1 to N,Loops,4,301-400,Expert,Not Attempted,0,1,"Read n and print sum of integers from 1 to n.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1,1,2,3,5,15,10,55,20,210,50,1275,100,5050,7,28,13,91,99,4950
Q005,Factorial,Loops,1,1-100,Easy,Not Attempted,0,1,"Read n from 0 to 12 and print n factorial.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,1,1,1,2,2,3,6,4,24,5,120,6,720,7,5040,8,40320,10,3628800
Q006,Reverse Number,Loops,2,101-200,Medium,Not Attempted,0,1,"Read non-negative integer n and print its reverse without leading zeros.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,0,1,1,12,21,120,21,1234,4321,900,9,1001,1001,4567,7654,8080,808,98765,56789
Q007,Count Digits,Loops,3,201-300,Hard,Not Attempted,0,1,"Read non-negative integer n and print number of digits.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,1,1,1,9,1,10,2,99,2,100,3,12345,5,100000,6,908070,6,42,2
Q008,Prime Check,Loops,4,301-400,Expert,Not Attempted,0,1,"Read n and print Prime or Not Prime.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1,Not Prime,2,Prime,3,Prime,4,Not Prime,5,Prime,9,Not Prime,11,Prime,15,Not Prime,17,Prime,21,Not Prime
Q009,Multiplication Table Last Value,Loops,2,101-200,Medium,Not Attempted,0,1,"Read n and print n*10.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1,10,2,20,5,50,7,70,10,100,12,120,15,150,20,200,25,250,99,990
Q010,Fibonacci Nth,Loops,3,201-300,Hard,Not Attempted,0,1,"Read n where n starts at 0 and print nth Fibonacci number.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,0,1,1,2,1,3,2,4,3,5,5,6,8,7,13,8,21,10,55
