Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
Q001,Student Total Marks,Structures,1,1-100,Easy,Not Attempted,0,1,"Read three subject marks into a structure and print total.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,10 20 30,60,50 50 50,150,0 0 0,0,99 98 97,294,35 40 45,120,80 70 60,210,1 2 3,6,100 100 100,300,25 25 50,100,66 77 88,231
Q002,Student Average Marks,Structures,2,101-200,Medium,Not Attempted,0,1,"Read three marks into a structure and print integer average.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,10 20 30,20,50 50 50,50,0 0 1,0,99 98 97,98,35 40 45,40,80 70 60,70,1 2 3,2,100 100 100,100,25 25 50,33,66 77 88,77
Q003,Complex Add Real Imag,Structures,3,201-300,Hard,Not Attempted,0,1,"Read two complex numbers as a b c d and print sum real and imaginary parts.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 2 3 4,4 6,0 0 1 1,1 1,-1 2 3 -4,2 -2,5 5 5 5,10 10,10 20 30 40,40 60,7 8 9 10,16 18,100 1 2 3,102 4,-5 -6 7 8,2 2,11 22 33 44,44 66,9 0 0 9,9 9
Q004,Point Distance Squared,Structures,4,301-400,Expert,Not Attempted,0,1,"Read x1 y1 x2 y2 and print squared distance between points.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0 0 1 1,2,0 0 3 4,25,1 2 1 2,0,-1 -1 1 1,8,5 5 8 9,25,10 0 0 10,200,2 3 4 5,8,7 8 9 10,8,-5 6 7 -8,340,100 100 90 80,500
Q005,Employee Salary,Structures,1,1-100,Easy,Not Attempted,0,1,"Read basic and bonus into a structure and print total salary.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1000 100,1100,5000 500,5500,0 0,0,999 1,1000,12000 800,12800,7500 250,7750,100 25,125,1500 750,2250,20000 0,20000,6400 600,7000
Q006,Date Earlier Year,Structures,2,101-200,Medium,Not Attempted,0,1,"Read two dates as d m y d m y and print the earlier year.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1 2020 2 1 2020,2020,1 1 2019 1 1 2020,2019,5 6 2024 4 6 2024,2024,31 12 2023 1 1 2024,2023,10 10 2000 9 9 1999,1999,1 5 2022 1 4 2022,2022,2 2 2022 2 2 2022,2022,7 8 2021 7 8 2020,2020,15 1 2010 16 1 2010,2010,1 12 2001 1 11 2001,2001
Q007,Book Price Total,Structures,3,201-300,Hard,Not Attempted,0,1,"Read price and quantity for a book and print total.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,10 2,20,100 5,500,0 9,0,12 12,144,7 8,56,100 3,300,45 2,90,11 13,143,5 20,100,25 4,100
Q008,Cricket Strike Rate Integer,Structures,4,301-400,Expert,Not Attempted,0,1,"Read runs and balls and print integer strike rate runs*100/balls.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,50 25,200,100 100,100,0 1,0,75 50,150,30 20,150,99 60,165,1 2,50,45 30,150,120 80,150,10 6,166
Q009,Time to Seconds,Structures,2,101-200,Medium,Not Attempted,0,1,"Read h m s into a structure and print total seconds.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0 0 0,0,0 1 0,60,1 0 0,3600,1 2 3,3723,2 30 0,9000,10 10 10,36610,23 59 59,86399,5 45 30,20730,12 0 1,43201,7 8 9,25689
Q010,Fraction Add Numerator,Structures,3,201-300,Hard,Not Attempted,0,1,"Read two fractions a/b and c/d as a b c d. Print numerator of their sum without simplification.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 2 1 2,4,1 3 1 6,9,2 5 3 5,25,0 1 5 7,5,3 4 1 8,28,7 9 2 3,39,5 6 1 2,16,9 10 1 10,100,2 3 4 5,22,11 12 13 14,310
