Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Is_Mandatory,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
E001,Macro Square,Advanced Concepts,10,Easy,Easy,Not Attempted,0,1,Define macro SQ(x) ((x)*(x)). Read n and print SQ(n).,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5,25,2,4,10,100,0,0,-3,9,5,25,2,4,10,100,0,0,-3,9
E002,Macro Max Two,Advanced Concepts,10,Easy,Easy,Not Attempted,0,1,"Define macro MAX(a,b). Read a b and print MAX(a,b).","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2,2,5 3,5,-1 -5,-1,0 0,0,100 99,100,1 2,2,5 3,5,-1 -5,-1,0 0,0,100 99,100
E003,Macro Cube,Advanced Concepts,10,Easy,Easy,Not Attempted,0,1,Define macro CUBE(x) ((x)*(x)*(x)). Read n and print CUBE(n).,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2,8,3,27,0,0,-2,-8,5,125,2,8,3,27,0,0,-2,-8,5,125
E004,Recursion Countdown,Advanced Concepts,10,Easy,Easy,Not Attempted,0,1,"Read n. Using recursion, print numbers n down to 1 space separated.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3,3 2 1,5,5 4 3 2 1,1,1,2,2 1,4,4 3 2 1,3,3 2 1,5,5 4 3 2 1,1,1,2,2 1,4,4 3 2 1
E005,Recursion Sum N,Advanced Concepts,10,Easy,Easy,Not Attempted,0,1,"Read n. Using recursion, return sum 1 to n and print.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5,15,1,1,10,55,2,3,20,210,5,15,1,1,10,55,2,3,20,210
E006,Bitwise Parity Check,Advanced Concepts,10,Easy,Easy,Not Attempted,0,1,Read n. Print 1 if number of set bits is odd else 0.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1,1,2,1,3,0,7,1,15,0,1,1,2,1,3,0,7,1,15,0
E007,Macro Absolute,Advanced Concepts,10,Easy,Easy,Not Attempted,0,1,Define macro ABS(x). Read n and print ABS(n).,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,-5,5,5,5,0,0,-100,100,42,42,-5,5,5,5,0,0,-100,100,42,42
E008,Enum Day Type,Advanced Concepts,10,Easy,Easy,Not Attempted,0,1,Read day number (1-7). Print Weekend if 6 or 7 else Weekday.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1,Weekday,5,Weekday,6,Weekend,7,Weekend,3,Weekday,1,Weekday,5,Weekday,6,Weekend,7,Weekend,3,Weekday
E009,Typedef Point Sum,Advanced Concepts,10,Easy,Easy,Not Attempted,0,1,Use typedef struct {int x; int y;} Point; Read x y and print x+y.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2 3,5,10 20,30,-5 5,0,0 0,0,100 200,300,2 3,5,10 20,30,-5 5,0,0 0,0,100 200,300
E010,Function Pointer Call Sim,Advanced Concepts,10,Easy,Easy,Not Attempted,0,1,"Read a b. Using a function pointer to an add function, compute and print sum.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2,3,10 20,30,-5 5,0,100 200,300,7 8,15,1 2,3,10 20,30,-5 5,0,100 200,300,7 8,15
M001,Matrix 2x2 Trace,Advanced Concepts,10,Medium,Medium,Not Attempted,0,1,Read 4 integers of 2x2 matrix row-wise. Print trace (sum of diagonal).,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2 3 4,5,0 0 0 0,0,5 6 7 8,13,1 0 0 1,2,10 20 30 40,50,1 2 3 4,5,0 0 0 0,0,5 6 7 8,13,1 0 0 1,2,10 20 30 40,50
M002,Matrix 2x2 Transpose,Advanced Concepts,10,Medium,Medium,Not Attempted,0,1,Read 4 integers of 2x2 matrix row-wise. Print transpose row-wise space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2 3 4,1 3 2 4,0 0 0 0,0 0 0 0,5 6 7 8,5 7 6 8,1 0 0 1,1 0 0 1,10 20 30 40,10 30 20 40,1 2 3 4,1 3 2 4,0 0 0 0,0 0 0 0,5 6 7 8,5 7 6 8,1 0 0 1,1 0 0 1,10 20 30 40,10 30 20 40
M003,Recursive GCD,Advanced Concepts,10,Medium,Medium,Not Attempted,0,1,Write recursive GCD function. Read positive a b and print GCD.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,12 18,6,7 5,1,100 10,10,81 27,27,14 21,7,12 18,6,7 5,1,100 10,10,81 27,27,14 21,7
M004,2D Array Row Sums,Advanced Concepts,10,Medium,Medium,Not Attempted,0,1,Read 2x2 matrix (4 integers). Print sum of row 0 and row 1 space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2 3 4,3 7,10 10 20 20,20 40,0 0 0 0,0 0,5 5 1 1,10 2,2 3 4 5,5 9,1 2 3 4,3 7,10 10 20 20,20 40,0 0 0 0,0 0,5 5 1 1,10 2,2 3 4 5,5 9
M005,2D Array Col Sums,Advanced Concepts,10,Medium,Medium,Not Attempted,0,1,Read 2x2 matrix (4 integers). Print sum of col 0 and col 1 space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2 3 4,4 6,10 10 20 20,30 30,0 0 0 0,0 0,5 5 1 1,6 6,2 3 4 5,6 8,1 2 3 4,4 6,10 10 20 20,30 30,0 0 0 0,0 0,5 5 1 1,6 6,2 3 4 5,6 8
M006,Matrix 2x2 Determinant,Advanced Concepts,10,Medium,Medium,Not Attempted,0,1,Read 2x2 matrix a b c d. Print determinant a*d - b*c.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2 3 4,-2,2 0 0 2,4,1 0 0 1,1,5 6 7 8,-2,10 2 3 1,4,1 2 3 4,-2,2 0 0 2,4,1 0 0 1,1,5 6 7 8,-2,10 2 3 1,4
M007,Dynamic Array Sum Sim,Advanced Concepts,10,Medium,Medium,Not Attempted,0,1,"Read n and n integers. Simulate dynamic array allocation, compute sum and print.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,6,1 5,5,4 10 20 30 40,100,2 -1 1,0,3 5 5 5,15,3 1 2 3,6,1 5,5,4 10 20 30 40,100,2 -1 1,0,3 5 5 5,15
M008,Recursive Power,Advanced Concepts,10,Medium,Medium,Not Attempted,0,1,Write recursive power function. Read base exp (>=0) and print result.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2 3,8,5 0,1,3 4,81,10 2,100,7 2,49,2 3,8,5 0,1,3 4,81,10 2,100,7 2,49
M009,Bit Field Mask 4,Advanced Concepts,10,Medium,Medium,Not Attempted,0,1,Read integer n. Mask lower 4 bits (n & 15) and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,255,15,16,0,18,2,7,7,31,15,255,15,16,0,18,2,7,7,31,15
M010,Union Size Sim,Advanced Concepts,10,Medium,Medium,Not Attempted,0,1,Assume union with int (4 bytes) and double (8 bytes). Print size of union (8).,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,0,8,1,8,42,8,100,8,999,8,0,8,1,8,42,8,100,8,999,8
