Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Is_Mandatory,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
E001,Point X Y Sum,Structures,8,Easy,Easy,Not Attempted,0,1,Define struct Point {int x; int y;}. Read x y and print x+y.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2 3,5,10 20,30,-5 5,0,0 0,0,100 200,300,2 3,5,10 20,30,-5 5,0,0 0,0,100 200,300
E002,Rectangle Area Struct,Structures,8,Easy,Easy,Not Attempted,0,1,Define struct Rect {int l; int b;}. Read l b and print area l*b.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2 3,6,5 5,25,10 1,10,7 8,56,12 4,48,2 3,6,5 5,25,10 1,10,7 8,56,12 4,48
E003,Student Marks Sum,Structures,8,Easy,Easy,Not Attempted,0,1,Define struct Student {int m1; int m2;}. Read m1 m2 and print sum.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,40 50,90,80 90,170,0 0,0,100 100,200,35 45,80,40 50,90,80 90,170,0 0,0,100 100,200,35 45,80
E004,Book Price,Structures,8,Easy,Easy,Not Attempted,0,1,Define struct Book {int id; int price;}. Read id price and print price.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,101 500,500,102 250,250,1 100,100,5 999,999,42 50,50,101 500,500,102 250,250,1 100,100,5 999,999,42 50,50
E005,Time Total Minutes,Structures,8,Easy,Easy,Not Attempted,0,1,Define struct Time {int h; int m;}. Read h m and print total minutes h*60+m.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 30,90,2 0,120,0 45,45,10 10,610,5 15,315,1 30,90,2 0,120,0 45,45,10 10,610,5 15,315
E006,Complex Real Part,Structures,8,Easy,Easy,Not Attempted,0,1,Define struct Complex {int real; int imag;}. Read real imag and print real.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5 3,5,-2 4,-2,0 10,0,100 -50,100,42 7,42,5 3,5,-2 4,-2,0 10,0,100 -50,100,42 7,42
E007,Circle Area Approx,Structures,8,Easy,Easy,Not Attempted,0,1,Define struct Circle {int r;}. Read r and print integer area 22*r*r/7.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,7,154,14,616,1,3,21,1386,35,3850,7,154,14,616,1,3,21,1386,35,3850
E008,Item Total Cost,Structures,8,Easy,Easy,Not Attempted,0,1,Define struct Item {int qty; int price;}. Read qty price and print total qty*price.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2 50,100,5 10,50,10 100,1000,1 99,99,3 30,90,2 50,100,5 10,50,10 100,1000,1 99,99,3 30,90
E009,Distance Origin Squared,Structures,8,Easy,Easy,Not Attempted,0,1,Define struct Point {int x; int y;}. Read x y and print x*x + y*y.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 4,25,1 2,5,0 5,25,-3 -4,25,10 10,200,3 4,25,1 2,5,0 5,25,-3 -4,25,10 10,200
E010,Employee Salary,Structures,8,Easy,Easy,Not Attempted,0,1,Define struct Emp {int id; int sal;}. Read id sal and print sal.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 50000,50000,2 60000,60000,101 10000,10000,5 75000,75000,42 99999,99999,1 50000,50000,2 60000,60000,101 10000,10000,5 75000,75000,42 99999,99999
M001,Point Distance Squared,Structures,8,Medium,Medium,Not Attempted,0,1,Read two points x1 y1 x2 y2. Print squared distance (x2-x1)^2 + (y2-y1)^2.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,0 0 3 4,25,1 1 4 5,25,0 0 0 0,0,-1 -1 1 1,8,10 10 20 20,200,0 0 3 4,25,1 1 4 5,25,0 0 0 0,0,-1 -1 1 1,8,10 10 20 20,200
M002,Complex Add,Structures,8,Medium,Medium,Not Attempted,0,1,Read r1 i1 r2 i2. Compute sum of two complex numbers and print real imag space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2 3 4,4 6,5 -3 -2 4,3 1,0 0 1 1,1 1,10 20 30 40,40 60,-5 -5 5 5,0 0,1 2 3 4,4 6,5 -3 -2 4,3 1,0 0 1 1,1 1,10 20 30 40,40 60,-5 -5 5 5,0 0
M003,Student Average,Structures,8,Medium,Medium,Not Attempted,0,1,Read marks m1 m2 m3. Print integer average (m1+m2+m3)/3.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,80 90 100,90,40 50 60,50,70 70 70,70,30 40 50,40,100 100 100,100,80 90 100,90,40 50 60,50,70 70 70,70,30 40 50,40,100 100 100,100
M004,Time Add,Structures,8,Medium,Medium,Not Attempted,0,1,Read h1 m1 h2 m2. Add times properly handling minutes >= 60. Print total hours and minutes space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 30 2 45,4 15,0 50 0 20,1 10,2 0 3 0,5 0,10 45 1 15,12 0,5 55 0 10,6 5,1 30 2 45,4 15,0 50 0 20,1 10,2 0 3 0,5 0,10 45 1 15,12 0,5 55 0 10,6 5
