Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Is_Mandatory,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
E001,Pointer Dereference,Pointers,7,Easy,Easy,Not Attempted,0,1,"Read integer n. Using a pointer to n, print its value.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5,5,-10,-10,0,0,100,100,42,42,5,5,-10,-10,0,0,100,100,42,42
E002,Pointer Update,Pointers,7,Easy,Easy,Not Attempted,0,1,Read n. Add 10 to n using a pointer and print updated value.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5,15,0,10,-10,0,90,100,42,52,5,15,0,10,-10,0,90,100,42,52
E003,Pointer Swap,Pointers,7,Easy,Easy,Not Attempted,0,1,"Write a function swap(int *a, int *b). Read two integers, swap via pointers, and print space separated.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2,2 1,5 3,3 5,-1 9,9 -1,0 0,0 0,100 99,99 100,1 2,2 1,5 3,3 5,-1 9,9 -1,0 0,0 0,100 99,99 100
E004,Pointer Add Two,Pointers,7,Easy,Easy,Not Attempted,0,1,Read a b. Compute sum using pointers and print sum.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2,3,10 20,30,-5 5,0,100 200,300,7 8,15,1 2,3,10 20,30,-5 5,0,100 200,300,7 8,15
E005,Pointer Is Equal,Pointers,7,Easy,Easy,Not Attempted,0,1,Read two integers. Compare them using pointers. Print 1 if equal else 0.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5 5,1,5 3,0,0 0,1,-1 1,0,42 42,1,5 5,1,5 3,0,0 0,1,-1 1,0,42 42,1
E006,Pointer Increment,Pointers,7,Easy,Easy,Not Attempted,0,1,Read n. Increment via pointer (*ptr)++ and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5,6,0,1,-1,0,99,100,42,43,5,6,0,1,-1,0,99,100,42,43
E007,Pointer Decrement,Pointers,7,Easy,Easy,Not Attempted,0,1,Read n. Decrement via pointer (*ptr)-- and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5,4,1,0,0,-1,100,99,42,41,5,4,1,0,0,-1,100,99,42,41
E008,Pointer Max Two,Pointers,7,Easy,Easy,Not Attempted,0,1,Read a b. Find maximum using pointers and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2,2,5 3,5,-1 -5,-1,0 0,0,100 99,100,1 2,2,5 3,5,-1 -5,-1,0 0,0,100 99,100
E009,Pointer Min Two,Pointers,7,Easy,Easy,Not Attempted,0,1,Read a b. Find minimum using pointers and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2,1,5 3,3,-1 -5,-5,0 0,0,100 99,99,1 2,1,5 3,3,-1 -5,-5,0 0,0,100 99,99
E010,Pointer Copy Value,Pointers,7,Easy,Easy,Not Attempted,0,1,Read n. Copy its value to variable m using pointer and print m.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,42,42,0,0,-5,-5,100,100,7,7,42,42,0,0,-5,-5,100,100,7,7
M001,Pointer Array Traversal,Pointers,7,Medium,Medium,Not Attempted,0,1,Read n and n integers. Traverse array using pointer arithmetic (ptr + i) and print elements space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,1 2 3,1 5,5,4 10 20 30 40,10 20 30 40,2 -1 1,-1 1,3 5 5 5,5 5 5,3 1 2 3,1 2 3,1 5,5,4 10 20 30 40,10 20 30 40,2 -1 1,-1 1,3 5 5 5,5 5 5
M002,Pointer Array Max,Pointers,7,Medium,Medium,Not Attempted,0,1,Read n and n integers. Find maximum using pointer traversal and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,3,1 5,5,4 10 20 30 40,40,2 -1 1,1,3 5 5 5,5,3 1 2 3,3,1 5,5,4 10 20 30 40,40,2 -1 1,1,3 5 5 5,5
M003,Pointer Reverse Array,Pointers,7,Medium,Medium,Not Attempted,0,1,Read n and n integers. Reverse array using two pointers (left and right) and print space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,3 2 1,1 5,5,4 10 20 30 40,40 30 20 10,2 -1 1,1 -1,3 5 5 5,5 5 5,3 1 2 3,3 2 1,1 5,5,4 10 20 30 40,40 30 20 10,2 -1 1,1 -1,3 5 5 5,5 5 5
