Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Is_Mandatory,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
E001,Char Count Sim,File Handling,9,Easy,Easy,Not Attempted,0,1,Simulate counting characters in file. Read a word and print character count.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,5,a,1,programming,11,code,4,openai,6,hello,5,a,1,programming,11,code,4,openai,6
E002,Line Count Sim,File Handling,9,Easy,Easy,Not Attempted,0,1,Read integer N representing lines in file and print N.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5,5,10,10,1,1,100,100,42,42,5,5,10,10,1,1,100,100,42,42
E003,Digit Count Sim,File Handling,9,Easy,Easy,Not Attempted,0,1,Read word simulating file content. Print count of digit characters.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,code123,3,hello,0,a1b2c,2,999,3,test0,1,code123,3,hello,0,a1b2c,2,999,3,test0,1
E004,Vowel Count Sim,File Handling,9,Easy,Easy,Not Attempted,0,1,Read lowercase word simulating file content. Print count of vowels.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,2,sky,0,education,5,apple,2,code,2,hello,2,sky,0,education,5,apple,2,code,2
E005,Uppercase Count Sim,File Handling,9,Easy,Easy,Not Attempted,0,1,Read word simulating file content. Print count of uppercase letters.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,Hello,1,HELLO,5,hello,0,CodeLab,2,A,1,Hello,1,HELLO,5,hello,0,CodeLab,2,A,1
E006,Starts With Vowel Sim,File Handling,9,Easy,Easy,Not Attempted,0,1,Read lowercase word. Print Yes if file starts with vowel else No.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,apple,Yes,banana,No,education,Yes,code,No,item,Yes,apple,Yes,banana,No,education,Yes,code,No,item,Yes
E007,Ends With Period Sim,File Handling,9,Easy,Easy,Not Attempted,0,1,Read string. Print Yes if ends with '.' else No.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,end.,Yes,hello,No,a.,Yes,test.,Yes,word,No,end.,Yes,hello,No,a.,Yes,test.,Yes,word,No
E008,Has Number Sim,File Handling,9,Easy,Easy,Not Attempted,0,1,Read word. Print Yes if contains any digit else No.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,file1,Yes,text,No,data2024,Yes,doc,No,0zero,Yes,file1,Yes,text,No,data2024,Yes,doc,No,0zero,Yes
E009,Consonant Count Sim,File Handling,9,Easy,Easy,Not Attempted,0,1,Read lowercase alphabetic word. Print count of consonants.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,3,education,4,sky,3,apple,3,code,2,hello,3,education,4,sky,3,apple,3,code,2
E010,File Size Bytes Sim,File Handling,9,Easy,Easy,Not Attempted,0,1,Read string. Assume 1 byte per char. Print file size in bytes.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,5,a,1,programming,11,code,4,openai,6,hello,5,a,1,programming,11,code,4,openai,6
