Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Is_Mandatory,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
E001,Maximum Two,Conditionals,3,Easy,Easy,Not Attempted,0,1,Read two integers and print maximum.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2,2,5 3,5,-1 -5,-1,0 0,0,100 99,100,1 2,2,5 3,5,-1 -5,-1,0 0,0,100 99,100
E002,Sign Number,Conditionals,3,Easy,Easy,Not Attempted,0,1,Read n and print Positive Negative or Zero.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,0,Zero,1,Positive,-1,Negative,25,Positive,-30,Negative,0,Zero,1,Positive,-1,Negative,25,Positive,-30,Negative
E003,Sum N,Loops,3,Easy,Easy,Not Attempted,0,1,Read n and print sum 1 to n using loop.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1,1,2,3,5,15,10,55,20,210,1,1,2,3,5,15,10,55,20,210
E004,Count Digits,Loops,3,Easy,Easy,Not Attempted,0,1,Read non-negative n and print digit count.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,0,1,1,1,10,2,99,2,100,3,0,1,1,1,10,2,99,2,100,3
E005,Multiplication Ten,Loops,3,Easy,Easy,Not Attempted,0,1,Read n and print n*10.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1,10,2,20,5,50,7,70,10,100,1,10,2,20,5,50,7,70,10,100
E006,Minimum Two,Conditionals,3,Easy,Easy,Not Attempted,0,1,Read two integers and print minimum.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2,1,5 3,3,-1 -5,-5,0 0,0,100 99,99,1 2,1,5 3,3,-1 -5,-5,0 0,0,100 99,99
E007,Voting Eligibility,Conditionals,3,Easy,Easy,Not Attempted,0,1,Read age and print Eligible if >= 18 else Not Eligible.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,18,Eligible,20,Eligible,17,Not Eligible,5,Not Eligible,65,Eligible,18,Eligible,20,Eligible,17,Not Eligible,5,Not Eligible,65,Eligible
E008,Vowel or Consonant,Conditionals,3,Easy,Easy,Not Attempted,0,1,"Read lowercase char c and print Vowel if a,e,i,o,u else Consonant.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,a,Vowel,b,Consonant,e,Vowel,z,Consonant,u,Vowel,a,Vowel,b,Consonant,e,Vowel,z,Consonant,u,Vowel
E009,Pass or Fail,Conditionals,3,Easy,Easy,Not Attempted,0,1,Read marks out of 100 and print Pass if >= 40 else Fail.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,40,Pass,39,Fail,85,Pass,0,Fail,100,Pass,40,Pass,39,Fail,85,Pass,0,Fail,100,Pass
E010,Print N to 1,Loops,3,Easy,Easy,Not Attempted,0,1,Read n and print numbers from n down to 1 space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3,3 2 1,5,5 4 3 2 1,1,1,2,2 1,4,4 3 2 1,3,3 2 1,5,5 4 3 2 1,1,1,2,2 1,4,4 3 2 1
