Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
Q001,Power Function,Functions,1,1-100,Easy,Not Attempted,0,1,"Read base and exponent and print base raised to exponent using a function.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,2 3,8,5 0,1,3 4,81,10 2,100,1 9,1,7 2,49,4 3,64,2 10,1024,9 1,9,6 2,36
Q002,GCD Function,Functions,2,101-200,Medium,Not Attempted,0,1,"Read two positive integers and print their GCD using a function.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,12 18,6,7 5,1,100 10,10,81 27,27,14 21,7,17 19,1,48 180,12,64 16,16,99 33,33,270 192,6
Q003,LCM Function,Functions,3,201-300,Hard,Not Attempted,0,1,"Read two positive integers and print their LCM using a function.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,12 18,36,7 5,35,100 10,100,81 27,81,14 21,42,17 19,323,4 6,12,8 12,24,9 15,45,10 25,50
Q004,Square Function,Functions,4,301-400,Expert,Not Attempted,0,1,"Read n and print square using a function.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,0,1,1,2,4,5,25,10,100,-2,4,-5,25,99,9801,12,144,25,625
Q005,Prime Function,Functions,1,1-100,Easy,Not Attempted,0,1,"Read n and print 1 if prime else 0 using a function.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1,0,2,1,3,1,4,0,5,1,9,0,11,1,15,0,17,1,21,0
Q006,Factorial Function,Functions,2,101-200,Medium,Not Attempted,0,1,"Read n and print factorial using a function.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,1,1,1,2,2,3,6,4,24,5,120,6,720,7,5040,8,40320,9,362880
Q007,Maximum Function,Functions,3,201-300,Hard,Not Attempted,0,1,"Read three integers and print maximum using a function.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 2 3,3,3 2 1,3,5 5 1,5,-1 -2 -3,-1,0 9 4,9,100 50 75,100,7 7 7,7,8 10 9,10,11 13 12,13,99 1 50,99
Q008,Digit Sum Function,Functions,4,301-400,Expert,Not Attempted,0,1,"Read non-negative integer and print sum of digits using a function.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,0,1,1,12,3,123,6,999,27,1001,2,4567,22,8080,16,98765,35,50005,10
Q009,Combination nC2,Functions,2,101-200,Medium,Not Attempted,0,1,"Read n and print n choose 2 using a function.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,2,1,3,3,4,6,5,10,10,45,20,190,50,1225,100,4950,7,21,13,78
Q010,Temperature Converter Function,Functions,3,201-300,Hard,Not Attempted,0,1,"Read Celsius and print Fahrenheit using a function.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,32,100,212,37,98,-40,-40,25,77,10,50,15,59,30,86,50,122,-10,14
