Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Is_Mandatory,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
E001,Array Sum,Arrays,4,Easy,Easy,Not Attempted,0,1,Read n and n integers and print sum.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 1,1,3 1 2 3,6,3 5 5 5,15,3 -1 2 -3,-2,4 10 20 30 40,100,1 1,1,3 1 2 3,6,3 5 5 5,15,3 -1 2 -3,-2,4 10 20 30 40,100
E002,Array Maximum,Arrays,4,Easy,Easy,Not Attempted,0,1,Read n and n integers and print maximum.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 1,1,3 1 2 3,3,3 5 5 5,5,3 -1 2 -3,2,4 10 20 30 40,40,1 1,1,3 1 2 3,3,3 5 5 5,5,3 -1 2 -3,2,4 10 20 30 40,40
E003,Count Even,Arrays,4,Easy,Easy,Not Attempted,0,1,Read n and n integers and print count of even elements.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 1,0,3 1 2 3,1,3 5 5 5,0,3 -1 2 -3,1,4 10 20 30 40,4,1 1,0,3 1 2 3,1,3 5 5 5,0,3 -1 2 -3,1,4 10 20 30 40,4
E004,Positive Count,Arrays,4,Easy,Easy,Not Attempted,0,1,Read n and n integers and print count of positive numbers.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 1,1,3 1 2 3,3,3 5 5 5,3,3 -1 2 -3,1,4 10 20 30 40,4,1 1,1,3 1 2 3,3,3 5 5 5,3,3 -1 2 -3,1,4 10 20 30 40,4
E005,Array Average,Arrays,4,Easy,Easy,Not Attempted,0,1,Read n and n integers and print integer average.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 1,1,3 1 2 3,2,3 5 5 5,5,3 -1 2 -3,-1,4 10 20 30 40,25,1 1,1,3 1 2 3,2,3 5 5 5,5,3 -1 2 -3,-1,4 10 20 30 40,25
E006,Array Minimum,Arrays,4,Easy,Easy,Not Attempted,0,1,Read n and n integers and print minimum.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 1,1,3 1 2 3,1,3 5 5 5,5,3 -1 2 -3,-3,4 10 20 30 40,10,1 1,1,3 1 2 3,1,3 5 5 5,5,3 -1 2 -3,-3,4 10 20 30 40,10
E007,Count Odd,Arrays,4,Easy,Easy,Not Attempted,0,1,Read n and n integers and print count of odd elements.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 1,1,3 1 2 3,2,3 5 5 5,3,3 -1 2 -3,2,4 10 20 30 40,0,1 1,1,3 1 2 3,2,3 5 5 5,3,3 -1 2 -3,2,4 10 20 30 40,0
E008,Negative Count,Arrays,4,Easy,Easy,Not Attempted,0,1,Read n and n integers and print count of strictly negative numbers.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 1,0,3 1 2 -3,1,3 -5 -5 -5,3,3 -1 2 -3,2,4 10 0 30 -40,1,1 1,0,3 1 2 -3,1,3 -5 -5 -5,3,3 -1 2 -3,2,4 10 0 30 -40,1
E009,First Element,Arrays,4,Easy,Easy,Not Attempted,0,1,Read n and n integers and print the first element.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 42,42,3 1 2 3,1,3 5 5 5,5,3 -1 2 -3,-1,4 10 20 30 40,10,1 42,42,3 1 2 3,1,3 5 5 5,5,3 -1 2 -3,-1,4 10 20 30 40,10
E010,Last Element,Arrays,4,Easy,Easy,Not Attempted,0,1,Read n and n integers and print the last element.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 42,42,3 1 2 3,3,3 5 5 5,5,3 -1 2 -3,-3,4 10 20 30 40,40,1 42,42,3 1 2 3,3,3 5 5 5,5,3 -1 2 -3,-3,4 10 20 30 40,40
