Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
Q001,Write Read Integer,File Handling,1,1-100,Easy,Not Attempted,0,1,"Read an integer, write it to a file, read it back, and print it.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,0,0,1,1,-1,-1,25,25,999,999,-250,-250,42,42,10000,10000,-9999,-9999,7,7
Q002,Write Read Sum,File Handling,2,101-200,Medium,Not Attempted,0,1,"Read two integers, store their sum in a file, read it back, and print it.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 2,3,-1 5,4,0 0,0,100 200,300,-7 -8,-15,999 1,1000,45 -10,35,123 321,444,-50 20,-30,214 786,1000
Q003,Character File Echo,File Handling,3,201-300,Hard,Not Attempted,0,1,"Read one character, write it to a file, read it back, and print it.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,A,A,a,a,0,0,Z,Z,z,z,9,9,@,@,#,#,m,m,K,K
Q004,File Word Length,File Handling,4,301-400,Expert,Not Attempted,0,1,"Read one word, write it to a file, read it back, and print its length.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,a,1,abc,3,hello,5,programming,11,C,1,level,5,strings,7,testcase,8,nmamit,6,abcdef,6
Q005,File Count Vowels,File Handling,1,1-100,Easy,Not Attempted,0,1,"Read one lowercase word, write it to a file, read it back, and print vowel count.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,a,1,abc,1,hello,2,programming,3,sky,0,education,5,queue,4,rhythm,0,banana,3,computer,3
Q006,File Array Sum,File Handling,2,101-200,Medium,Not Attempted,0,1,"Read n and n integers, write them to a file, read them back, and print sum.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,1,3 1 2 3,6,3 5 5 5,15,3 -1 2 -3,-2,4 10 20 30 40,100,3 0 0 0,0,2 7 8,15,3 100 -50 25,75,4 9 1 2 3,15,5 4 4 4 4 4,20
Q007,File Maximum,File Handling,3,201-300,Hard,Not Attempted,0,1,"Read n and n integers, write to file, read back, and print maximum.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 1,1,3 1 2 3,3,3 5 5 5,5,3 -1 2 -3,2,4 10 20 30 40,40,3 0 0 0,0,2 7 8,8,3 100 -50 25,100,4 9 1 2 3,9,5 4 4 4 4 4,4
Q008,File Line Count Simulated,File Handling,4,301-400,Expert,Not Attempted,0,1,"Read n and print n after writing n lines to a file.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1,1,2,2,3,3,4,4,5,5,10,10,12,12,15,15,20,20,25,25
Q009,Append Numbers Total,File Handling,2,101-200,Medium,Not Attempted,0,1,"Read three integers, append them to a file, read back, and print total.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,1 2 3,6,10 20 30,60,5 5 5,15,0 0 1,1,-3 3 6,6,100 90 80,270,7 8 9,24,11 13 17,41,50 60 70,180,2 4 8,14
Q010,File Copy Word,File Handling,3,201-300,Hard,Not Attempted,0,1,"Read one word, copy it from one file to another, and print copied word.

Input must be read from stdin. Print only the requested answer with a trailing newline. Do not print prompts.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,2,128000,apple,apple,banana,banana,c,c,delta,delta,echo,echo,zebra,zebra,Nitte,Nitte,lab,lab,code,code,test,test
