Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Is_Mandatory,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
E001,Print Integer,Basics I/O,1,Easy,Easy,Not Attempted,0,1,"Read an integer and print it.

Read input from stdin and print only the exact requested output.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5,5,-10,-10,0,0,100,100,42,42,5,5,-10,-10,0,0,100,100,42,42
E002,Sum Two Integers,Basics I/O,1,Easy,Easy,Not Attempted,0,1,Read two integers and print their sum.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2,3,-5 5,0,10 20,30,-3 -7,-10,100 200,300,1 2,3,-5 5,0,10 20,30,-3 -7,-10,100 200,300
E003,Product Two Integers,Basics I/O,1,Easy,Easy,Not Attempted,0,1,Read two integers and print their product.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2 3,6,-4 5,-20,0 10,0,7 8,56,-3 -3,9,2 3,6,-4 5,-20,0 10,0,7 8,56,-3 -3,9
E004,Rectangle Area,Basics I/O,1,Easy,Easy,Not Attempted,0,1,Read length and breadth and print rectangle area.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2 3,6,5 5,25,10 1,10,7 8,56,12 4,48,2 3,6,5 5,25,10 1,10,7 8,56,12 4,48
E005,ASCII Value,Basics I/O,1,Easy,Easy,Not Attempted,0,1,Read one character and print its ASCII value.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,A,65,a,97,0,48,Z,90,z,122,A,65,a,97,0,48,Z,90,z,122
E006,Subtract Two Integers,Basics I/O,1,Easy,Easy,Not Attempted,0,1,Read two integers a and b and print a - b.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5 3,2,10 20,-10,0 0,0,-5 -2,-3,100 50,50,5 3,2,10 20,-10,0 0,0,-5 -2,-3,100 50,50
E007,Divide Two Integers,Basics I/O,1,Easy,Easy,Not Attempted,0,1,Read two integers a and b and print integer quotient a / b.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,10 2,5,15 3,5,7 2,3,-10 2,-5,100 10,10,10 2,5,15 3,5,7 2,3,-10 2,-5,100 10,10
E008,Remainder Two Integers,Basics I/O,1,Easy,Easy,Not Attempted,0,1,Read two integers a and b and print remainder a % b.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,10 3,1,15 4,3,20 5,0,7 2,1,100 30,10,10 3,1,15 4,3,20 5,0,7 2,1,100 30,10
E009,Perimeter of Rectangle,Basics I/O,1,Easy,Easy,Not Attempted,0,1,Read length and breadth and print perimeter 2*(l+b).,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2 3,10,5 5,20,10 1,22,7 8,30,12 4,32,2 3,10,5 5,20,10 1,22,7 8,30,12 4,32
E010,Area of Square,Basics I/O,1,Easy,Easy,Not Attempted,0,1,Read side s and print area s*s.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2,4,5,25,10,100,7,49,12,144,2,4,5,25,10,100,7,49,12,144
M001,Celsius to Fahrenheit,Basics I/O,1,Medium,Medium,Not Attempted,0,1,Read Celsius c and print Fahrenheit using integer formula c*9/5+32.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,0,32,100,212,37,98,-40,-40,25,77,0,32,100,212,37,98,-40,-40,25,77
M002,Simple Interest,Basics I/O,1,Medium,Medium,Not Attempted,0,1,Read p r t and print simple interest p*r*t/100.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1000 5 2,100,5000 10 1,500,2500 4 3,300,100 1 1,1,12000 8 5,4800,1000 5 2,100,5000 10 1,500,2500 4 3,300,100 1 1,1,12000 8 5,4800
M003,Square and Cube,Basics I/O,1,Medium,Medium,Not Attempted,0,1,Read n and print square and cube space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2,4 8,3,9 27,4,16 64,5,25 125,10,100 1000,2,4 8,3,9 27,4,16 64,5,25 125,10,100 1000
M004,Last Digit,Basics I/O,1,Medium,Medium,Not Attempted,0,1,Read non-negative integer and print last digit.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,123,3,0,0,7,7,4560,0,999,9,123,3,0,0,7,7,4560,0,999,9
M005,Swap Two Numbers,Basics I/O,1,Medium,Medium,Not Attempted,0,1,Read a b and print b a.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2,2 1,5 3,3 5,-1 9,9 -1,0 0,0 0,100 99,99 100,1 2,2 1,5 3,3 5,-1 9,9 -1,0 0,0 0,100 99,99 100
M006,Fahrenheit to Celsius,Basics I/O,1,Medium,Medium,Not Attempted,0,1,Read Fahrenheit f and print Celsius using integer formula (f-32)*5/9.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,32,0,212,100,98,36,-40,-40,77,25,32,0,212,100,98,36,-40,-40,77,25
M007,Average of Four,Basics I/O,1,Medium,Medium,Not Attempted,0,1,Read four integers and print integer average.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 2 3 4,2,10 20 30 40,25,5 5 5 5,5,0 0 0 4,1,100 200 300 400,250,1 2 3 4,2,10 20 30 40,25,5 5 5 5,5,0 0 0 4,1,100 200 300 400,250
M008,Double and Triple,Basics I/O,1,Medium,Medium,Not Attempted,0,1,Read n and print 2*n and 3*n space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2,4 6,5,10 15,10,20 30,-3,-6 -9,0,0 0,2,4 6,5,10 15,10,20 30,-3,-6 -9,0,0 0
M009,Seconds to Minutes,Basics I/O,1,Medium,Medium,Not Attempted,0,1,Read total seconds and print integer minutes.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,60,1,130,2,3600,60,45,0,600,10,60,1,130,2,3600,60,45,0,600,10
M010,Perimeter of Circle Approx,Basics I/O,1,Medium,Medium,Not Attempted,0,1,Read integer radius r and print integer perimeter using 2*22*r/7.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,7,44,14,88,21,132,1,6,35,220,7,44,14,88,21,132,1,6,35,220
